complicatedOutput.txt 's output
( DELIMITER , ) )
( DELIMITER , ; )
( DELIMITER , } )
( DELIMITER , } )
( KEY_WORD , else )
( DELIMITER , { )
( IDENTIFIER , addToken )
( DELIMITER , ( )
( DELIMITER , " )
( STRING_CONSTANTS , / )
( DELIMITER , " )
( DELIMITER , , )
( IDENTIFIER , Constants )
( DELIMITER , . )
( IDENTIFIER , TOKEN_TYPE )
( DELIMITER , . )
( IDENTIFIER , OPERATOR )
( DELIMITER , ) )
( DELIMITER , ; )
( DELIMITER , } )
( DELIMITER , } )
( KEY_WORD , else )
( KEY_WORD , if )
( DELIMITER , ( )
( IDENTIFIER , tempC )
( OPERATOR , == )
( DELIMITER , ' )
( STRING_CONSTANTS , - )
( DELIMITER , ' )
( OPERATOR , || )
( IDENTIFIER , tempC )
( OPERATOR , == )
( DELIMITER , ' )
( STRING_CONSTANTS , + )
( DELIMITER , ' )
( OPERATOR , || )
( IDENTIFIER , tempC )
( OPERATOR , == )
( DELIMITER , ' )
( STRING_CONSTANTS , * )
( DELIMITER , ' )
( OPERATOR , || )
( IDENTIFIER , tempC )
( OPERATOR , == )
( DELIMITER , ' )
( STRING_CONSTANTS , = )
( DELIMITER , ' )
( OPERATOR , || )
( IDENTIFIER , tempC )
( OPERATOR , == )
( DELIMITER , ' )
( STRING_CONSTANTS , | )
( DELIMITER , ' )
( OPERATOR , || )
( IDENTIFIER , tempC )
( OPERATOR , == )
( DELIMITER , ' )
( STRING_CONSTANTS , & )
( DELIMITER , ' )
( DELIMITER , ) )
( DELIMITER , { )
( IDENTIFIER , buffer )
( DELIMITER , . )
( IDENTIFIER , append )
( DELIMITER , ( )
( IDENTIFIER , inputSeq )
( DELIMITER , [ )
( IDENTIFIER , offset )
( OPERATOR , + )
( INT , 1 )
( DELIMITER , ] )
( DELIMITER , ) )
( DELIMITER , ; )
( KEY_WORD , if )
( DELIMITER , ( )
( IDENTIFIER , checkIfOperator )
( DELIMITER , ( )
( IDENTIFIER , buffer )
( DELIMITER , . )
( IDENTIFIER , toString )
( DELIMITER , ( )
( DELIMITER , ) )
( DELIMITER , ) )
( DELIMITER , ) )
( DELIMITER , { )
( IDENTIFIER , addToken )
( DELIMITER , ( )
( IDENTIFIER , buffer )
( DELIMITER , . )
( IDENTIFIER , toString )
( DELIMITER , ( )
( DELIMITER , ) )
( DELIMITER , , )
( IDENTIFIER , Constants )
( DELIMITER , . )
( IDENTIFIER , TOKEN_TYPE )
( DELIMITER , . )
( IDENTIFIER , OPERATOR )
( DELIMITER , ) )
( DELIMITER , ; )
( IDENTIFIER , offset )
